ID,Description,source,Ratio,BgRatio,pvalue,FDR,disease_class,disease_class_name,disease_semantic_type,shared_geneid,shared_symbol,Count,gg,sig
C0041755,Adverse reaction to drug,CURATED,6/213,84/9703,0.010271196181469999,0.04867522882479624,C25,Chemically-Induced Disorders,Pathologic Function,1719;1571;79001;5243;2045;3357,DHFR;CYP2E1;VKORC1;ABCB1;EPHA7;HTR2B,6,0.024489795918367346,TRUE
C0033937,"Psychoses, Drug",CURATED,3/213,21/9703,0.010370508156188138,0.0488593037329447,C25;F03,Chemically-Induced Disorders;Mental Disorders,Mental or Behavioral Dysfunction,2099;6531;3362,ESR1;SLC6A3;HTR6,3,0.012244897959183673,TRUE
C3165106,Infiltrating duct carcinoma of female breast,CURATED,3/213,21/9703,0.010370508156188138,0.0488593037329447,C04;C17,Neoplasms;Skin and Connective Tissue Diseases,Neoplastic Process,2046;5159;65061,EPHA8;PDGFRB;CDK15,3,0.012244897959183673,TRUE
C0018801,Heart failure,CURATED,7/213,110/9703,0.010561499563399851,0.048903677061473236,C14,Cardiovascular Diseases,Disease or Syndrome,2932;7422;155;152;153;5156;3357,GSK3B;VEGFA;ADRB3;ADRA2C;ADRB1;PDGFRA;HTR2B,7,0.02857142857142857,TRUE
C0018802,Congestive heart failure,CURATED,7/213,110/9703,0.010561499563399851,0.048903677061473236,C14,Cardiovascular Diseases,Disease or Syndrome,2932;7422;155;152;153;5156;3357,GSK3B;VEGFA;ADRB3;ADRA2C;ADRB1;PDGFRA;HTR2B,7,0.02857142857142857,TRUE
C0023212,Left-Sided Heart Failure,CURATED,7/213,110/9703,0.010561499563399851,0.048903677061473236,C14,Cardiovascular Diseases,Disease or Syndrome,2932;7422;155;152;153;5156;3357,GSK3B;VEGFA;ADRB3;ADRA2C;ADRB1;PDGFRA;HTR2B,7,0.02857142857142857,TRUE
C0235527,"Heart Failure, Right-Sided",CURATED,7/213,110/9703,0.010561499563399851,0.048903677061473236,C14,Cardiovascular Diseases,Disease or Syndrome,2932;7422;155;152;153;5156;3357,GSK3B;VEGFA;ADRB3;ADRA2C;ADRB1;PDGFRA;HTR2B,7,0.02857142857142857,TRUE
C1959583,Myocardial Failure,CURATED,7/213,110/9703,0.010561499563399851,0.048903677061473236,C14,Cardiovascular Diseases,Disease or Syndrome,2932;7422;155;152;153;5156;3357,GSK3B;VEGFA;ADRB3;ADRA2C;ADRB1;PDGFRA;HTR2B,7,0.02857142857142857,TRUE
C1961112,Heart Decompensation,CURATED,7/213,110/9703,0.010561499563399851,0.048903677061473236,C14,Cardiovascular Diseases,Pathologic Function,2932;7422;155;152;153;5156;3357,GSK3B;VEGFA;ADRB3;ADRA2C;ADRB1;PDGFRA;HTR2B,7,0.02857142857142857,TRUE
C0020542,Pulmonary Hypertension,CURATED,4/213,40/9703,0.011136755720645954,0.05127349642325887,C08,Respiratory Tract Diseases,Pathologic Function,6532;23476;94;3357,SLC6A4;BRD4;ACVRL1;HTR2B,4,0.0163265306122449,FALSE
C0022665,Kidney Neoplasm,CURATED,4/213,40/9703,0.011136755720645954,0.05127349642325887,C04;C12;C13,Neoplasms;Male Urogenital Diseases;Female Urogenital Diseases and Pregnancy Complications,Neoplastic Process,6790;5243;5894;558,AURKA;ABCB1;RAF1;AXL,4,0.0163265306122449,FALSE
C0019189,"Hepatitis, Chronic",CURATED,3/213,22/9703,0.011816631019189148,0.05379063585073145,C06,Digestive System Diseases,Disease or Syndrome,4233;6774;3082,MET;STAT3;HGF,3,0.012244897959183673,FALSE
C0149519,Chronic Persistent Hepatitis,CURATED,3/213,22/9703,0.011816631019189148,0.05379063585073145,C06,Digestive System Diseases,Disease or Syndrome,4233;6774;3082,MET;STAT3;HGF,3,0.012244897959183673,FALSE
C0520463,Chronic active hepatitis,CURATED,3/213,22/9703,0.011816631019189148,0.05379063585073145,C06,Digestive System Diseases,Disease or Syndrome,4233;6774;3082,MET;STAT3;HGF,3,0.012244897959183673,FALSE
C0524611,Cryptogenic Chronic Hepatitis,CURATED,3/213,22/9703,0.011816631019189148,0.05379063585073145,C06,Digestive System Diseases,Disease or Syndrome,4233;6774;3082,MET;STAT3;HGF,3,0.012244897959183673,FALSE
C0001080,Achondroplasia,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C05;C16,"Musculoskeletal Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities",Congenital Abnormality,2261,FGFR3,1,0.004081632653061225,FALSE
C0001546,Adjustment Disorders,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,F03,Mental Disorders,Mental or Behavioral Dysfunction,10014,HDAC5,1,0.004081632653061225,FALSE
C0001956,Alcohol Use Disorder,CURATED,4/213,44/9703,0.015459151574567172,0.0541649553644457,C25;F03,Chemically-Induced Disorders;Mental Disorders,Mental or Behavioral Dysfunction,1571;6532;886;6462,CYP2E1;SLC6A4;CCKAR;SHBG,4,0.0163265306122449,FALSE
C0003081,Anisometropia,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C11,Eye Diseases,Disease or Syndrome,5728,PTEN,1,0.004081632653061225,FALSE
C0003090,Ankylosis,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C05,Musculoskeletal Diseases,Pathologic Function,2263,FGFR2,1,0.004081632653061225,FALSE
C0003467,Anxiety,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,F01,Behavior and Behavior Mechanisms,Mental or Behavioral Dysfunction,6532,SLC6A4,1,0.004081632653061225,FALSE
C0003811,Cardiac Arrhythmia,CURATED,3/213,25/9703,0.016819839834949696,0.0541649553644457,C14;C23,"Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms",Disease or Syndrome,2100;3752;3757,ESR2;KCND3;KCNH2,3,0.012244897959183673,FALSE
C0003944,As If Personality,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,F03,Mental Disorders,Mental or Behavioral Dysfunction,6532,SLC6A4,1,0.004081632653061225,FALSE
C0004444,Avoidant Personality Disorder,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,F03,Mental Disorders,Mental or Behavioral Dysfunction,6532,SLC6A4,1,0.004081632653061225,FALSE
C0007398,Catatonia,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C10;C23;F01,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms;Behavior and Behavior Mechanisms",Mental or Behavioral Dysfunction,1132,CHRM4,1,0.004081632653061225,FALSE
C0009324,Ulcerative Colitis,CURATED,5/213,63/9703,0.012216769333541651,0.0541649553644457,C06,Digestive System Diseases,Disease or Syndrome,6774;5970;3383;5243;8767,STAT3;RELA;ICAM1;ABCB1;RIPK2,5,0.02040816326530612,FALSE
C0010273,Craniofacial Dysostosis,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C05;C16,"Musculoskeletal Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities",Disease or Syndrome,2263,FGFR2,1,0.004081632653061225,FALSE
C0011579,Reactive depression,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,F03,Mental Disorders,Mental or Behavioral Dysfunction,10014,HDAC5,1,0.004081632653061225,FALSE
C0011757,Developmental Coordination Disorder,CURATED,2/213,8/9703,0.012313635348333947,0.0541649553644457,F03,Mental Disorders,Mental or Behavioral Dysfunction,2263;5728,FGFR2;PTEN,2,0.00816326530612245,FALSE
C0013930,"Embolism, Tumor",CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C04;C23,"Neoplasms;Pathological Conditions, Signs and Symptoms",Neoplastic Process,2064,ERBB2,1,0.004081632653061225,FALSE
C0014474,Ependymoma,CURATED,2/213,8/9703,0.012313635348333947,0.0541649553644457,C04,Neoplasms,Neoplastic Process,5970;2048,RELA;EPHB2,2,0.00816326530612245,FALSE
C0014549,Tonic-Clonic Epilepsy,CURATED,2/213,10/9703,0.019226446290588124,0.0541649553644457,C10,Nervous System Diseases,Disease or Syndrome,627;2247,BDNF;FGF2,2,0.00816326530612245,FALSE
C0014550,Myoclonic Epilepsy,CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C10,Nervous System Diseases,Disease or Syndrome,6335;3074,SCN9A;HEXB,2,0.00816326530612245,FALSE
C0014556,"Epilepsy, Temporal Lobe",CURATED,3/213,23/9703,0.013372849286680345,0.0541649553644457,C10,Nervous System Diseases,Disease or Syndrome,3791;7422;7010,KDR;VEGFA;TEK,3,0.012244897959183673,FALSE
C0014558,Uncinate Epilepsy,CURATED,3/213,23/9703,0.013372849286680345,0.0541649553644457,C10,Nervous System Diseases,Disease or Syndrome,3791;7422;7010,KDR;VEGFA;TEK,3,0.012244897959183673,FALSE
C0014591,Epistaxis,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C08;C09;C23,"Respiratory Tract Diseases;Otorhinolaryngologic Diseases;Pathological Conditions, Signs and Symptoms",Pathologic Function,94,ACVRL1,1,0.004081632653061225,FALSE
C0014836,Escherichia coli Infections,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C01,Infections,Disease or Syndrome,5243,ABCB1,1,0.004081632653061225,FALSE
C0015519,Factor X Deficiency,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C15;C16,"Hemic and Lymphatic Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities",Disease or Syndrome,2159,F10,1,0.004081632653061225,FALSE
C0015526,Factor XII Deficiency,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C15;C16,"Hemic and Lymphatic Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities",Disease or Syndrome,2161,F12,1,0.004081632653061225,FALSE
C0016412,Folic Acid Deficiency,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C18,Nutritional and Metabolic Diseases,Disease or Syndrome,1719,DHFR,1,0.004081632653061225,FALSE
C0017412,"Genital Diseases, Male",CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C12,Male Urogenital Diseases,Disease or Syndrome,367,AR,1,0.004081632653061225,FALSE
C0018553,"Hamartoma Syndrome, Multiple",CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C04;C16,"Neoplasms;Congenital, Hereditary, and Neonatal Diseases and Abnormalities",Neoplastic Process,2263;5728,FGFR2;PTEN,2,0.00816326530612245,FALSE
C0018798,Congenital Heart Defects,CURATED,4/213,44/9703,0.015459151574567172,0.0541649553644457,C14;C16,"Cardiovascular Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities",Congenital Abnormality,25;7422;23476;5243,ABL1;VEGFA;BRD4;ABCB1,4,0.0163265306122449,FALSE
C0021124,Impulse-Ridden Personality,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,F03,Mental Disorders,Mental or Behavioral Dysfunction,6532,SLC6A4,1,0.004081632653061225,FALSE
C0021139,Inadequate Personality,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,F03,Mental Disorders,Mental or Behavioral Dysfunction,6532,SLC6A4,1,0.004081632653061225,FALSE
C0021364,Male infertility,CURATED,4/213,48/9703,0.020711771561458356,0.0541649553644457,C12,Male Urogenital Diseases,Disease or Syndrome,2099;367;4193;6795,ESR1;AR;MDM2;AURKC,4,0.0163265306122449,FALSE
C0023461,"Leukemia, Mast-Cell",CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C04,Neoplasms,Neoplastic Process,3815,KIT,1,0.004081632653061225,FALSE
C0023487,Acute Promyelocytic Leukemia,CURATED,4/213,46/9703,0.0179659108229657,0.0541649553644457,C04,Neoplasms,Neoplastic Process,6774;3815;2322;6777,STAT3;KIT;FLT3;STAT5B,4,0.0163265306122449,FALSE
C0023494,"Leukemia, T-Cell, Chronic",CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C04;C15;C20,Neoplasms;Hemic and Lymphatic Diseases;Immune System Diseases,Neoplastic Process,6777,STAT5B,1,0.004081632653061225,FALSE
C0023801,Lipomatosis,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C17;C18,Skin and Connective Tissue Diseases;Nutritional and Metabolic Diseases,Disease or Syndrome,5728,PTEN,1,0.004081632653061225,FALSE
C0023869,Lithiasis,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C23,"Pathological Conditions, Signs and Symptoms",Pathologic Function,2100,ESR2,1,0.004081632653061225,FALSE
C0024668,"Mammary Neoplasms, Experimental",CURATED,8/213,155/9703,0.02091389653932607,0.0541649553644457,C04,Neoplasms,Experimental Model of Disease;Neoplastic Process,780;1956;2064;2099;2100;6774;6790;5747,DDR1;EGFR;ERBB2;ESR1;ESR2;STAT3;AURKA;PTK2,8,0.0326530612244898,FALSE
C0025268,Multiple Endocrine Neoplasia Type 2a,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C04;C16;C19,"Neoplasms;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Endocrine System Diseases",Neoplastic Process,5979,RET,1,0.004081632653061225,FALSE
C0025269,Multiple Endocrine Neoplasia Type 2b,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C04;C16;C19,"Neoplasms;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Endocrine System Diseases",Neoplastic Process,5979,RET,1,0.004081632653061225,FALSE
C0025500,Mesothelioma,CURATED,4/213,41/9703,0.012133267380016076,0.0541649553644457,C04,Neoplasms,Neoplastic Process,1956;2099;2475;2247,EGFR;ESR1;MTOR;FGF2,4,0.0163265306122449,FALSE
C0026613,Motor Skills Disorders,CURATED,2/213,8/9703,0.012313635348333947,0.0541649553644457,F03,Mental Disorders,Mental or Behavioral Dysfunction,2263;5728,FGFR2;PTEN,2,0.00816326530612245,FALSE
C0026998,"Acute Myeloid Leukemia, M1",CURATED,7/213,125/9703,0.02014347819565021,0.0541649553644457,C04,Neoplasms,Neoplastic Process,4233;6774;3082;1436;3815;2322;4916,MET;STAT3;HGF;CSF1R;KIT;FLT3;NTRK3,7,0.02857142857142857,FALSE
C0027439,Nasopharyngeal Neoplasms,CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C04;C07;C09,Neoplasms;Stomatognathic Diseases;Otorhinolaryngologic Diseases,Neoplastic Process,1548;1956,CYP2A6;EGFR,2,0.00816326530612245,FALSE
C0027821,Neurocirculatory Asthenia,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,F03,Mental Disorders,Disease or Syndrome,6530,SLC6A2,1,0.004081632653061225,FALSE
C0029106,Opisthorchiasis,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C01,Infections,Disease or Syndrome,1548,CYP2A6,1,0.004081632653061225,FALSE
C0031030,Periapical Periodontitis,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C07,Stomatognathic Diseases,Disease or Syndrome,2247,FGF2,1,0.004081632653061225,FALSE
C0031212,Personality Disorders,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,F03,Mental Disorders,Mental or Behavioral Dysfunction,6532,SLC6A4,1,0.004081632653061225,FALSE
C0033774,Pruritus,CURATED,2/213,8/9703,0.012313635348333947,0.0541649553644457,C17;C23,"Skin and Connective Tissue Diseases;Pathological Conditions, Signs and Symptoms",Finding,6335;3269,SCN9A;HRH1,2,0.00816326530612245,FALSE
C0035309,Retinal Diseases,CURATED,3/213,27/9703,0.020717646355888773,0.0541649553644457,C11,Eye Diseases,Disease or Syndrome,7422;3383;4543,VEGFA;ICAM1;MTNR1A,3,0.012244897959183673,FALSE
C0036161,Sandhoff Disease,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C10;C16;C18,"Nervous System Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Nutritional and Metabolic Diseases",Disease or Syndrome,3074,HEXB,1,0.004081632653061225,FALSE
C0037769,West Syndrome,CURATED,3/213,24/9703,0.015040291094116273,0.0541649553644457,C10,Nervous System Diseases,Disease or Syndrome,4915;6326;150094,NTRK2;SCN2A;SIK1,3,0.012244897959183673,FALSE
C0039446,Telangiectasis,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C14,Cardiovascular Diseases,Finding,94,ACVRL1,1,0.004081632653061225,FALSE
C0039585,Androgen-Insensitivity Syndrome,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C12;C13;C16;C19,"Male Urogenital Diseases;Female Urogenital Diseases and Pregnancy Complications;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Endocrine System Diseases",Disease or Syndrome,367,AR,1,0.004081632653061225,FALSE
C0039743,Thanatophoric Dysplasia,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C05;C16,"Musculoskeletal Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities",Congenital Abnormality,2261,FGFR3,1,0.004081632653061225,FALSE
C0040827,Saturnine Tremor,CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C10;C23,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms",Sign or Symptom,154;1132,ADRB2;CHRM4,2,0.00816326530612245,FALSE
C0042510,Ventricular Fibrillation,CURATED,2/213,8/9703,0.012313635348333947,0.0541649553644457,C14;C23,"Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms",Disease or Syndrome,6336;3757,SCN10A;KCNH2,2,0.00816326530612245,FALSE
C0043124,West Nile Fever,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C01;C10,Infections;Nervous System Diseases,Disease or Syndrome,1234,CCR5,1,0.004081632653061225,FALSE
C0085207,Gestational Diabetes,CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C13;C18;C19,Female Urogenital Diseases and Pregnancy Complications;Nutritional and Metabolic Diseases;Endocrine System Diseases,Disease or Syndrome,367;2247,AR;FGF2,2,0.00816326530612245,FALSE
C0085548,Autosomal Recessive Polycystic Kidney Disease,CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C12;C13;C16,"Male Urogenital Diseases;Female Urogenital Diseases and Pregnancy Complications;Congenital, Hereditary, and Neonatal Diseases and Abnormalities",Disease or Syndrome,1956;6714,EGFR;SRC,2,0.00816326530612245,FALSE
C0149840,Senile Tremor,CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C10;C23,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms",Sign or Symptom,154;1132,ADRB2;CHRM4,2,0.00816326530612245,FALSE
C0150055,Chronic pain,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C23,"Pathological Conditions, Signs and Symptoms",Sign or Symptom,6335,SCN9A,1,0.004081632653061225,FALSE
C0151744,Myocardial Ischemia,CURATED,9/213,176/9703,0.015565792753695124,0.0541649553644457,C14,Cardiovascular Diseases,Disease or Syndrome,3791;7422;154;3383;3082;1432;153;2247;5471,KDR;VEGFA;ADRB2;ICAM1;HGF;MAPK14;ADRB1;FGF2;PPAT,9,0.036734693877551024,FALSE
C0155675,Pulmonary Arteriovenous Fistulas,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C14;C16;C23,"Cardiovascular Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Pathological Conditions, Signs and Symptoms",Disease or Syndrome,94,ACVRL1,1,0.004081632653061225,FALSE
C0206728,Plexiform Neurofibroma,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C04;C10,Neoplasms;Nervous System Diseases,Neoplastic Process,558,AXL,1,0.004081632653061225,FALSE
C0206733,Strawberry nevus of skin,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C04,Neoplasms,Neoplastic Process,2324,FLT4,1,0.004081632653061225,FALSE
C0221026,X-linked agammaglobulinemia,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C15;C16;C20,"Hemic and Lymphatic Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Immune System Diseases",Disease or Syndrome,695,BTK,1,0.004081632653061225,FALSE
C0234370,Persistent Tremor,CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C10;C23,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms",Sign or Symptom,154;1132,ADRB2;CHRM4,2,0.00816326530612245,FALSE
C0234371,Continuous Tremor,CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C10;C23,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms",Sign or Symptom,154;1132,ADRB2;CHRM4,2,0.00816326530612245,FALSE
C0234372,Intermittent Tremor,CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C10;C23,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms",Sign or Symptom,154;1132,ADRB2;CHRM4,2,0.00816326530612245,FALSE
C0234373,Fine Tremor,CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C10;C23,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms",Sign or Symptom,154;1132,ADRB2;CHRM4,2,0.00816326530612245,FALSE
C0234374,Coarse Tremor,CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C10;C23,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms",Sign or Symptom,154;1132,ADRB2;CHRM4,2,0.00816326530612245,FALSE
C0234375,Massive Tremor,CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C10;C23,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms",Sign or Symptom,154;1132,ADRB2;CHRM4,2,0.00816326530612245,FALSE
C0234376,Action Tremor,CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C10;C23,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms",Sign or Symptom,154;1132,ADRB2;CHRM4,2,0.00816326530612245,FALSE
C0234377,Passive Tremor,CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C10;C23,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms",Sign or Symptom,154;1132,ADRB2;CHRM4,2,0.00816326530612245,FALSE
C0234378,Static Tremor,CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C10;C23,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms",Sign or Symptom,154;1132,ADRB2;CHRM4,2,0.00816326530612245,FALSE
C0234379,Resting Tremor,CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C10;C23,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms",Sign or Symptom,154;1132,ADRB2;CHRM4,2,0.00816326530612245,FALSE
C0234381,Darkness Tremor,CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C10;C23,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms",Sign or Symptom,154;1132,ADRB2;CHRM4,2,0.00816326530612245,FALSE
C0235078,"Tremor, Perioral",CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C10;C23,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms",Sign or Symptom,154;1132,ADRB2;CHRM4,2,0.00816326530612245,FALSE
C0235081,"Tremor, Limb",CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C10;C23,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms",Sign or Symptom,154;1132,ADRB2;CHRM4,2,0.00816326530612245,FALSE
C0235082,"Tremor, Muscle",CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C10;C23,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms",Sign or Symptom,154;1132,ADRB2;CHRM4,2,0.00816326530612245,FALSE
C0235083,Nerve Tremors,CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C10;C23,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms",Sign or Symptom,154;1132,ADRB2;CHRM4,2,0.00816326530612245,FALSE
C0235843,"Tremor, Neonatal",CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C10;C23,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms",Sign or Symptom,154;1132,ADRB2;CHRM4,2,0.00816326530612245,FALSE
C0238301,Cancer of Nasopharynx,CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C04;C07;C09,Neoplasms;Stomatognathic Diseases;Otorhinolaryngologic Diseases,Neoplastic Process,1548;1956,CYP2A6;EGFR,2,0.00816326530612245,FALSE
C0238324,Ovarian Germ Cell Tumor,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C04;C13;C19,Neoplasms;Female Urogenital Diseases and Pregnancy Complications;Endocrine System Diseases,Neoplastic Process,3815,KIT,1,0.004081632653061225,FALSE
C0238462,Medullary carcinoma of thyroid,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C04;C19,Neoplasms;Endocrine System Diseases,Neoplastic Process,5979,RET,1,0.004081632653061225,FALSE
C0241790,Congenital pulmonary arteriovenous malformation,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C08,Respiratory Tract Diseases,Congenital Abnormality,94,ACVRL1,1,0.004081632653061225,FALSE
C0242350,Erectile dysfunction,CURATED,2/213,10/9703,0.019226446290588124,0.0541649553644457,C12;F03,Male Urogenital Diseases;Mental Disorders,Disease or Syndrome,7422;6462,VEGFA;SHBG,2,0.00816326530612245,FALSE
C0262584,"Carcinoma, Small Cell",CURATED,2/213,9/9703,0.015604653732801158,0.0541649553644457,C04,Neoplasms,Neoplastic Process,1548;2475,CYP2A6;MTOR,2,0.00816326530612245,FALSE
C0263402,Telangiectasia macularis eruptiva perstans,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C04;C14;C17,Neoplasms;Cardiovascular Diseases;Skin and Connective Tissue Diseases,Disease or Syndrome,3815,KIT,1,0.004081632653061225,FALSE
C0265950,Venous malformation,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",Congenital Abnormality,7010,TEK,1,0.004081632653061225,FALSE
C0268301,Reifenstein Syndrome,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C12;C13;C16;C19,"Male Urogenital Diseases;Female Urogenital Diseases and Pregnancy Complications;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Endocrine System Diseases",Disease or Syndrome,367,AR,1,0.004081632653061225,FALSE
C0268608,Deficiency of dihydrofolate reductase,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,NA,NA,Disease or Syndrome,1719,DHFR,1,0.004081632653061225,FALSE
C0270972,Cornelia De Lange Syndrome,CURATED,2/213,8/9703,0.012313635348333947,0.0541649553644457,C10;C16,"Nervous System Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities",Disease or Syndrome,23476;55869,BRD4;HDAC8,2,0.00816326530612245,FALSE
C0272327,Hereditary factor X deficiency disease,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C15;C16,"Hemic and Lymphatic Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities",Disease or Syndrome,2159,F10,1,0.004081632653061225,FALSE
C0277004,Opisthorchis felineus Infection,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C01,Infections,Disease or Syndrome,1548,CYP2A6,1,0.004081632653061225,FALSE
C0277005,Opisthorchis viverrini Infection,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C01,Infections,Disease or Syndrome,1548,CYP2A6,1,0.004081632653061225,FALSE
C0278601,Inflammatory Breast Carcinoma,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C04;C17,Neoplasms;Skin and Connective Tissue Diseases,Neoplastic Process,238,ALK,1,0.004081632653061225,FALSE
C0282220,Amaurotic Familial Idiocy,CURATED,1/213,1/9703,0.021954236239920752,0.0541649553644457,C10;C16;C18,"Nervous System Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Nutritional and Metabolic Diseases",Disease or Syndrome,3073,HEXA,1,0.004081632653061225,FALSE
